name	sources	files	one_liner	layer	scope	vertical	status	traction	priority
Daqstra	YC S26	yc-2026.md	AI-native orchestration for physical R&D testing	L1	horizontal	general	active	none visible	high
Dari	YC F25	yc-2025.md	API for reliable browser-use agents with deterministic playback	X	horizontal	general	active	none visible	high
Dart	YC W22	yc-2021-22.md	AI-native project management with agents completing work	L3	horizontal	general	active	thousands of teams	normal
Databricks Mosaic Agent Framework	seed:L5	kp-suites.md	Open framework for building data-aware agents on Databricks	L2	horizontal	general	active	none visible	normal
Datadog Bits AI	ext:L5	kp-suites.md	Agentic assistant for SRE and observability	L5	vertical	software engineering	active	none visible	normal
datafruit	YC S25	yc-2025.md	AI workspace automating software implementation projects	L3	vertical	software engineering	active	none visible	high
Datafy	Bessemer	vc-us-b.md	Autonomous storage administration agent for public cloud	L3	vertical	IT	active	BVP-backed, early stage	normal
Datrics	YC W21	yc-2021-22.md	AI automation for healthcare insurance claims coding	L3	vertical	healthcare	pivoted	$1.1M raised; pivoted from data analytics	normal
Day.ai	ext:L3	kp-vertical-b.md	AI-native CRM built by agents	L3	vertical	GTM/sales	active	$20M Series A from Sequoia (Feb 2026)	normal
Dayforce AI Agents	ext:L5	kp-suites.md	HR and payroll suite with embedded agents	L5	vertical	HR	active	none visible	normal
Daylight Security	Craft	vc-us-c.md	Managed agentic security services	L4	horizontal	general	active	$33M Ser A led by Craft	normal
Daytona	seed:L1	kp-infra.md	Sandboxes and runtimes for AI-generated code and agents	L1	horizontal	general	active	$24M Series A led by FirstMark	high
Decagon	seed:L3;a16z, Accel;Coatue	kp-vertical-a.md;vc-us-a.md;vc-us-b.md	AI customer support agents with concierge positioning	L3	vertical	customer service	active	$4.5B valuation (Series D, 2026)	high
Decipher	YC W24	yc-2024.md	AI QA agents that write tests 10x faster with zero maintenance	L3	vertical	software engineering	active	none visible	high
Decisional AI	YC S24	yc-2024.md	Autonomous AI agents for spreadsheet based operations	L3	vertical	finance/accounting	active	Pre-Seed funding	high
Dedalus Labs	YC S25	yc-2025.md	Vercel for AI agents, hosted MCP servers with one-click deploy	L1	horizontal	general	active	none visible	high
Deepgram	seed:X	kp-infra.md	Speech-to-text and voice AI models for agents	X	horizontal	general	active	$130M Series C at $1.3B (Jan 2026)	high
DeepIP	Balderton Capital	vc-eu.md	AI platform for patent drafting and prosecution	L3	vertical	legal	active	$25M Series B	normal
DeepRFP	gtm:rfp	gtm-carry.md	Lean AI toolkit for proposal professionals: shredder, drafts, red-team review	L3	vertical	GTM/sales	active	transparent pricing $89-149 per user monthly	normal
deepset	ext:OSS;Balderton Capital	kp-infra.md;vc-eu.md	Haystack OSS and enterprise RAG agent platform	L2	horizontal	general	active	$30M raised (2023)	high
Deeptrace	YC F25	yc-2025.md	Agents investigating and resolving production alerts end-to-end	L3	vertical	software engineering	active	none visible	high
Definite	YC S26	yc-2026.md	Back-office agents based on a model of books	L3	vertical	finance	active	none visible	high
Delfino AI	YC S22	yc-2021-22.md	AI automating provider-payor phone calls in healthcare	X	vertical	healthcare	active	team 2	normal
Delineate	YC W25	yc-2025.md	AI agents designing better clinical trials faster	L3	vertical	life sciences	active	none visible	high
Deloitte	seed:L4	kp-infra.md	Big 4 SI building and deploying enterprise agents	L4	horizontal	general	active	Zora AI agentic platform (2025)	high
Delphina	Radical Ventures	vc-ai.md	AI agents automating data science workflows	L3	vertical	data science	active	$7.5M seed 2023	normal
Delve	Insight;YC W24	vc-us-b.md;yc-2024.md	AI agents for enterprise compliance monitoring	L3	vertical	compliance	active	$32M Ser A 2025 led by Insight	high
Demeter	YC W25	yc-2025.md	AI value-creation team for private equity portfolios	L3	vertical	finance	active	none visible	high
Dench.com	YC S24	yc-2024.md	AI Workforce that does it all	L2	horizontal	general	active	$2M Seed Round	high
Denki	YC F25	yc-2025.md	Full-stack AI audit firm performing audits with software	L3	vertical	accounting	active	$4.1M raised	high
Derya	YC S26	yc-2026.md	AI-Native Logistics Office	L3	vertical	logistics	active	none visible	high
Dev Tools AI	YC S22	yc-2021-22.md	LLM and computer-vision powered web and mobile automation	L3	vertical	software engineering	dead	none visible	normal
Dex	ext:L3	kp-vertical-a.md	AI recruiting agents for talent matching	L3	vertical	HR and recruiting	active	$5.3M seed led by Notion Capital (2026)	normal
Dexter	YC F24	yc-2024.md	AI-powered Source-to-Pay	L3	vertical	finance/accounting	active	none visible	high
Dialogus	YC S26	yc-2026.md	Infrastructure for enterprise voice agents in contact centers	L1	horizontal	general	active	Customers include Papa Johns, KFC	high
Dialtone	YC S23	yc-2023.md	Self-learning agents for CRM and GTM data hygiene	L3	vertical	sales	active	none visible	normal
DianaHR	YC W24	yc-2024.md	An AI-Powered HR Person	L3	vertical	HR	active	$3.7M Seed Round	high
Dify	ext:OSS;ext:L2	kp-infra.md;kp-platforms.md	Open-source platform for agentic workflows	L2	horizontal	general	active	$30M pre-Series A (2026)	high
DigiBuild	YC S21	yc-2021-22.md	agents that buy and track building materials for construction	L3	vertical	construction	active	none visible	normal
DigitalGenius	seed:L3	kp-vertical-a.md	AI agents for ecommerce customer service automation	L3	vertical	customer service (ecommerce)	active	$14.75M Series A (2017); quiet since	normal
Digits	seed:L3	kp-vertical-b.md	AI-native accounting software automating bookkeeping	L3	vertical	finance/accounting	active	$65M raised; $565M valuation (2022)	high
Digs	ext:L3	kp-vertical-b.md	AI digital twin platform for homebuilding	L3	vertical	construction	active	$25.3M Series A led by Builders FirstSource (Aug 2026)	high
dili	YC S23	yc-2023.md	AI automation for prevailing-wage compliance in construction and infrastructure	L3	vertical	construction	pivoted	pivoted from PE due-diligence AI	normal
DiligenceSquared	YC F25	yc-2025.md	Automated, auditable market diligence for private equity deals	L3	vertical	finance	active	none visible	high
Diligent	YC S23	yc-2023.md	AI agents for fintech AML and customer due diligence	L3	vertical	fintech	active	none visible	normal
Dime	YC W24	yc-2024.md	Dime automates administrative busywork at healthcare clinics	L3	vertical	healthcare	active	none visible	high
Diode Computers, Inc.	YC S24	yc-2024.md	Automate circuit board design using AI	L3	vertical	engineering	active	raised $11.4M	high
DisputeNinja	YC S23	yc-2023.md	AI agents automating chargeback disputes and revenue recovery	L3	vertical	finance	active	Shopify App Store presence	normal
Docket	gtm:sol	gtm-carry.md	AI sales engineers for presales teams	L3	vertical	GTM/sales	active	none visible	normal
Document Crunch	ext:L3	kp-vertical-b.md	AI contract review for construction projects	L3	vertical	construction	active	$30M raised (2024)	high
Docyt	ext:L3	kp-vertical-b.md	Precision-trained AI agents for accounting automation	L3	vertical	finance/accounting	active	$12M pre-Series B (Aug 2025)	normal
Dodge AI	Accel	vc-in.md	Specialized agents maintaining SAP ERP systems	L3	vertical	IT	active	Accel Atoms AI cohort 2026	normal
Dodo	YC S24	yc-2024.md	AI Employees for Specialty Clinics	L3	vertical	healthcare	active	none visible	high
Doe	YC S25	yc-2025.md	AI agents doing your work across connected tools	L2	horizontal	general	active	none visible	high
Dome Systems	Bessemer	vc-us-b.md	Operational control plane for the agentic enterprise	L1	horizontal	general	active	$14M seed 2026 co-led by BVP and Redpoint	normal
Domo AI Agents	ext:L5	kp-suites.md	Custom AI agents for business data	L5	vertical	analytics	active	none visible	normal
Domu	YC S24	yc-2024.md	AI Agents for collections	L3	vertical	finance/accounting	active	none visible	high
Donkey	YC S26	yc-2026.md	AI-native trading company for US importers	L3	vertical	e-commerce	active	none visible	high
Doublezero	YC S24	yc-2024.md	Platform to build, use, and monetize fully autonomous agents	L2	horizontal	general	active	none visible	high
DPDzero	Blume	vc-in.md	GPT-enabled collections and debt recovery for lenders	L3	vertical	finance	active	Blume-backed since 2023	normal
DraftWise	ext:L3	kp-vertical-b.md	AI drafting and knowledge platform for law firms	L3	vertical	legal	active	$20M Series A (Mar 2024)	normal
Drillbit	YC S24	yc-2024.md	Automating Office Work for Residential Contractors	L3	vertical	construction	active	none visible	high
Dropzone	seed:L3;Madrona	kp-vertical-b.md;vc-us-c.md	AI SOC analyst agent automating alert investigation	L3	vertical	security	active	$37M Series B (Jul 2025)	high
DryMerge	YC W24	yc-2024.md	AI that updates your CRM for you	L3	vertical	GTM/sales	active	$2.2M Seed Round	high
dScribe AI	YC S25	yc-2025.md	Autonomous drones with 3D vision tracking bulk inventory	L3	vertical	logistics	active	none visible	high
Duckie	YC W24	yc-2024.md	Build AI Support Agents in Minutes	L3	vertical	customer service	active	$500K Seed	high
Durate	YC F24	yc-2024.md	Automated physician scheduling	L3	vertical	healthcare	active	$500K Seed	high
Dust	gtm:kb;ext:L2;Seedcamp;Sequoia	gtm-carry.md;kp-platforms.md;vc-eu.md;vc-us-a.md	Multiplayer AI: shared human-agent collaboration surface	L2	horizontal	general	active	3000+ orgs, 300K+ agents deployed	high
Dwelly	ext:L3	kp-vertical-b.md	AI operating system automating UK lettings agencies	L3	vertical	real estate	active	$170M Series B (Jul 2026)	high
E2B	seed:L1;Insight;YC S24	kp-infra.md;vc-us-b.md;yc-2024.md	Open-source sandboxes and agent cloud for running AI code	L1	horizontal	general	active	$21M Series A 2025; Fortune 100 customers	high
Eagl	ext:L3	kp-vertical-b.md	AI agents for month-end close	L3	vertical	finance/accounting	active	EUR 825K raised (2025)	normal
ECSA	YC S22	yc-2021-22.md	AI agent running international trade operations	L3	vertical	logistics	active	none visible	normal
Eden	YC S25	yc-2025.md	Autonomous marketing agents running ecommerce campaigns	L3	vertical	marketing	active	none visible	high
Edexia	YC W25	yc-2025.md	AI teacher assistant grading essays across curricula	L3	vertical	education	active	none visible	high
Edgedive	YC F24	yc-2024.md	The AI Support Engineer	L3	vertical	software engineering	active	none visible	high
EdgeRunner AI	Madrona	vc-us-c.md	Air-gapped on-device AI agents for military	L3	vertical	security	active	$12M Ser A 2025	normal
Edra	Sequoia	vc-us-a.md	Creates and deploys executable knowledge for enterprise AI agents	L1	horizontal	general	active	raised $30M Series A	high
EffiGov	YC S25	yc-2025.md	AI call operators answering 311 and city lines around the clock	L3	vertical	government	active	none visible	high
Egma AI	YC S26	yc-2026.md	AI-native marketing agency for elective care clinics	L3	vertical	marketing	active	$48K pilot value, backed by South Park Commo	high
Egoist Machines	YC S26	yc-2026.md	Secure user-owned context for AI apps	L1	horizontal	general	active	none visible	high
Egress Health	YC W25	yc-2025.md	AI agents automating dental revenue cycle management	L3	vertical	healthcare	active	none visible	high
Ekpa	YC S26	yc-2026.md	Autonomous Research Agents for Trading	L3	vertical	finance	active	none visible	high
ElevenLabs	ext:X	kp-infra.md	Voice AI company with conversational agent platform	X	horizontal	general	active	$500M ARR (2026)	high
EliseAI	seed:L3;a16z;Bessemer	kp-vertical-b.md;vc-us-a.md;vc-us-b.md	AI leasing and resident agents for housing operators	L3	vertical	real estate	active	$300M at $3.7B reportedly in talks (Aug 2026)	high
Ellipsis	YC W24	yc-2024.md	AI code reviews & bug fixes	L3	vertical	software engineering	active	none visible	high
Elyos AI	YC S23	yc-2023.md	AI customer-service agents for trades and field services	L3	vertical	field services	active	none visible	normal
Ema	gtm:kb;seed:L2;Accel	gtm-carry.md;kp-platforms.md;vc-in.md;vc-us-a.md	Universal AI Employee platform: no-code agents, Generative Workflow Engine	L2	horizontal	general	active	250+ integrations, outcome-based pricing	high
Embedder	YC S25	yc-2025.md	Coding agent writing, testing, debugging firmware	L3	vertical	software engineering	active	none visible	high
Ember	YC F24	yc-2024.md	AI revenue cycle management for healthcare	L3	vertical	healthcare	active	none visible	high
Emergent	Lightspeed;YC S24	vc-in.md;yc-2024.md	AI agents building apps and code from ideas	L3	vertical	software engineering	active	Unicorn; $130M Series C 2026	high
Engines	YC W24	yc-2024.md	Setup any repo with one command	L3	vertical	software engineering	active	none visible	high
Engram	General Catalyst	vc-us-b.md	Memory operating system for AI models and agents	L1	horizontal	general	active	GC-led seed 2026	normal
Entangl	YC S24	yc-2024.md	Find & resolve issues in data center engineering & operations using AI	L3	vertical	IT	active	none visible	high
Entire	Felicis, Madrona	vc-us-c.md	Developer platform managing code written by AI agents	L1	horizontal	general	active	$60M seed at $300M val 2026	normal
Entropy	YC S24	yc-2024.md	Autonomous intake and RCM for specialty clinics	L3	vertical	healthcare	active	$25M seed round led by Andreessen Horowitz	high
Entvin	YC S22	yc-2021-22.md	AI agents for life-sciences regulatory teams	L3	vertical	life sciences	active	team 5	normal
Eos AI	YC W26	yc-2026.md	Autonomous OS for healthcare	L3	vertical	healthcare	active	none visible	high
Epic AI Agents	ext:L5	kp-suites.md	EHR agents (Penny, Art, Emmie) built with Microsoft	L5	vertical	healthcare	active	85% of Epic customer base (reported)	normal
Epicor Prism AI	ext:L5	kp-suites.md	Network of vertical AI agents with industry ERP	L5	horizontal	general	active	none visible	normal
Epsilla	YC S23	yc-2023.md	Platform for building AI agents on private knowledge	L2	horizontal	general	active	reported revenue	normal
Ergo	YC W25	yc-2025.md	Agents monitoring comms, updating CRM, executing revenue activities	L3	vertical	GTM/sales	active	none visible	high
Erinys	YC S26	yc-2026.md	Network of AI-native law firms	L3	vertical	legal	active	none visible	high
Escape Technologies	Balderton Capital;YC W23	vc-eu.md;yc-2023.md	AI agents replacing manual pentesting	L3	vertical	security	active	$18M Series A led by Balderton, Mar 2026	high
Espressive	ext:L3	kp-vertical-a.md	Barista AI agent for enterprise IT and HR service	L3	vertical	IT and employee service	active	Atos partnership (2025); established since 2017	high
Eve	seed:L3;Menlo	kp-vertical-b.md;vc-us-b.md	AI workforce automating plaintiff law firm casework	L3	vertical	legal	active	$103M Series B at $1B (Sep 2025)	high
EvenUp	seed:L3;Bessemer	kp-vertical-b.md;vc-us-b.md	AI drafting demand packages for personal injury firms	L3	vertical	legal	active	$150M Series E at $2B+ (Oct 2025)	high
Everest	YC F25	yc-2025.md	AI employees helping MSPs resolve IT support tickets	L3	vertical	IT	active	none visible	high
Exa	YC S21	yc-2021-22.md	web search API built for AI applications and agents	L1	horizontal	general	active	$250M Series C May 2026 at $2.2B valuation	high
Exaforce	ext:L3;Mayfield;Khosla Ventures	kp-vertical-b.md;vc-ai.md;vc-us-a.md	Agentic SOC platform for security reasoning and response	L3	vertical	security	active	$125M Series B (May 2026)	high
Experiential Labs	YC S26	yc-2026.md	World models for agents	L1	horizontal	general	active	none visible	high
EY	seed:L4	kp-infra.md	Big 4 SI with enterprise agentic AI platform	L4	horizontal	general	active	EY.ai Agentic Platform with NVIDIA (2025)	high
Factory	seed:L3;Sequoia, Khosla Ventures;NEA	kp-vertical-a.md;vc-us-a.md;vc-us-b.md	Autonomous software development agents (droids)	L3	vertical	software engineering	active	$50M Series B (2025, NEA, Sequoia, NVIDIA)	high
Farsight	SignalFire	vc-ai.md	AI workflow automation for financial decisions	L3	vertical	finance	active	$16M Series A June 2025	normal
FastGPT	ext:L2	kp-platforms.md	Open-source knowledge-base and agent workflow platform	L2	horizontal	general	active	Major open-source project (labring)	normal
Fazeshift	YC S24	yc-2024.md	AI agent for Accounts Receivable	L3	vertical	finance/accounting	active	$17M Series A	high
Feather	YC S22	yc-2021-22.md	platform powering human-like AI phone calls	X	horizontal	general	active	team 2	normal
Federato	seed:L3	kp-vertical-b.md	Underwriting workbench with AI copilots for insurers	L3	vertical	insurance	active	$100M Series D led by Goldman (Nov 2025)	high
Fenrock AI	YC W26	yc-2026.md	AI agents for banking back office	L3	vertical	finance	active	none visible	high
Fernstone	YC F25	yc-2025.md	Full-stack AI insurance brokerage for complex commercial risk	L3	vertical	insurance	active	none visible	high
Fibr AI	Accel	vc-in.md;vc-us-a.md	Agentic web personalization turning URLs into experience agents	L3	vertical	GTM/marketing	active	$7.5M seed led by Accel 2026	normal
Fifth Dimension AI	Seedcamp	vc-eu.md	AI partner automating work for real estate professionals	L3	vertical	real estate	active	£2.3M pre-seed, 2023	normal
Fin	Bessemer	vc-us-b.md	Intercom renamed; customer AI agent company	L5	vertical	customer service	active	Formerly Intercom; rebranded around Fin agent 2026	high
finbar	YC W25	yc-2025.md	AI investment analyst automating modeling and research	L3	vertical	finance	active	used by several top-20 AUM hedge funds	high
Fini	YC S22	yc-2021-22.md	AI agents autonomously resolving enterprise support tickets	L3	vertical	customer service	active	team 14	normal
Finnt	YC W22	yc-2021-22.md	AI agents for CFO and finance teams	L3	vertical	finance	dead	none visible	normal
Finster	Peak XV	vc-in.md	AI research platform automating equity research workflows	L3	vertical	finance	active	Surge 11 cohort 2025	normal
Finto	ext:L3;YC S25	kp-vertical-b.md;yc-2025.md	AI-powered accounting platform	L3	vertical	finance/accounting	active	$3.4M seed (Jul 2026)	high
Firebender	YC W24	yc-2024.md	Most powerful coding agent for Android engineers	L3	vertical	software engineering	active	none visible	high
Firsthand	Radical Ventures	vc-ai.md	Brand agents for marketers and publishers	L3	vertical	marketing	active	$26M Series A	normal
fixa	YC F24	yc-2024.md	Fix AI voice agents faster	L1	horizontal	general	active	none visible	high
Fixify	seed:L3	kp-vertical-a.md	AI agent plus human analysts for IT help desks	L3	vertical	IT service	active	$25M Series A (2024)	high
Flair Labs	YC S22	yc-2021-22.md	autonomous voice agents for real estate and lending	X	vertical	real estate	active	team 4	normal
Flank	Insight	vc-us-b.md	Autonomous legal agents embedded in enterprise workflows	L3	vertical	legal	active	$10M round 2025, Insight-backed	normal
FleetWorks	ext:L3	kp-vertical-b.md	Voice AI agents for freight brokers and carriers	L3	vertical	logistics	active	$17M raised (Oct 2025)	normal
Flowise	ext:OSS;seed:L2;YC S23	kp-infra.md;kp-platforms.md;yc-2023.md	Visual low-code builder for agentic systems	L2	horizontal	general	acquired	Popular OSS; modest commercial traction	high
Flowtel	YC W25	yc-2025.md	AI voice agents for hotels, from booking to room service	L3	vertical	hospitality	active	none visible	high
Fluidize	YC S25	yc-2025.md	AI building and running simulations and experiments for scientists	L3	vertical	engineering	active	none visible	high
Flywheel AI	YC S25	yc-2025.md	Autonomous excavators operating existing construction machinery	L3	vertical	construction	active	none visible	high
Forethought	seed:L3;8VC	kp-vertical-a.md;vc-us-c.md	AI agents for customer support resolution	L3	vertical	customer service	acquired	Acquired by Zendesk (2026)	high
Forge	YC W24	yc-2024.md	Getting companies refunds on tariffs & duties	L3	vertical	logistics	active	none visible	high
Forge Robotics	YC F25	yc-2025.md	Robotic system fabricating welded metal parts end-to-end	L3	vertical	manufacturing	active	none visible	high
Forgent AI	Cherry Ventures	vc-eu.md	AI agents for winning and delivering public sector contracts	L3	vertical	GTM/sales	active	$5.1M pre-seed, Sep 2025	normal
Forus	ext:L3	kp-vertical-b.md	AI agents for pharma market access in medical practices	L3	vertical	healthcare	active	$150M Series C at $3B (Sep 2026)	high
Foundry	YC F24	yc-2024.md	Enterprise data and simulation for AI web agents	L1	horizontal	general	active	none visible	high
Freed	ext:L3	kp-vertical-b.md	AI medical scribe for clinicians	L3	vertical	healthcare	active	$30M Series A led by Sequoia (Mar 2025)	high
Freestyle	YC S24	yc-2024.md	We run and deploy code your AI wrote	L1	horizontal	general	active	$10M Series A led by Silas Capital	high
Freight Hero	AI Fund	vc-ai.md	AI agents for freight brokerage back offices	L3	vertical	logistics	active	$5M raised July 2026	normal
Freshworks Freddy AI	ext:L5	kp-suites.md	Agentic AI for customer and employee service in Freshworks	L5	vertical	customer service	active	5,000 organizations	normal
Freya	YC S25	yc-2025.md	Voice AI for enterprises	X	horizontal	general	active	none visible	high
Frizzle	YC S25	yc-2025.md	AI grading handwritten math assignments for teachers	L3	vertical	education	active	none visible	high
Fulcrum	YC S25	yc-2025.md	Red-teaming agents fixing RL environments and improving agents	L1	horizontal	general	active	none visible	high
Fume	YC W24	yc-2024.md	We are building the AI Software Developer	L3	vertical	software engineering	active	none visible	high
FurtherAI	YC W24	yc-2024.md	AI Workforce for the Insurance Industry	L3	vertical	insurance	active	$25M Series A led by a16z	high
Fuse	YC S24	yc-2024.md	AI helpers for patient intake and benefits checks	L3	vertical	healthcare	active	none visible	high
FuseAI	YC W25	yc-2025.md	Agentic OS automating the entire outbound sales motion	L3	vertical	GTM/sales	active	none visible	high
Futwork	Blume	vc-in.md	Voice AI contact centre for Indian enterprises	X	vertical	customer service	pivoted	Pivoted from telesales services to voice AI	normal
Galileo	seed:L1	kp-infra.md	Evaluation platform for gen-AI and agent reliability	L1	horizontal	general	active	$68M raised; 834% revenue growth	high
Galini	YC F24	yc-2024.md	Compliance guardrails-as-a-service for AI applications	L1	horizontal	general	active	Pre Seed Round	high
GC AI	ext:L3;Northzone	kp-vertical-b.md;vc-eu.md	AI assistant for in-house counsel	L3	vertical	legal	active	$60M Series B at $550M (Nov 2025)	high
Gecko Security	YC F24	yc-2024.md	The AI Security Engineer to Find and Fix Vulnerabilities	L3	vertical	security	active	none visible	high
General Analysis	YC S24	yc-2024.md	Security for agentic AI	L1	horizontal	general	active	$10M Seed	high
General Legal	YC W26	yc-2026.md	Elite AI law firm for high growth companies	L3	vertical	legal	active	none visible	high
General Magic	Radical Ventures	vc-ai.md	Insurance-native AI running brokerage workflows	L3	vertical	insurance	active	none visible	normal
Genesys AI Agents	ext:L5	kp-suites.md	Autonomous CX agents in Genesys Cloud	L5	vertical	customer service	active	none visible	normal
GenHealth.ai	ext:L3	kp-vertical-b.md	AI agents running the medical back office	L3	vertical	healthcare	active	$16.5M Series A (Sep 2026)	normal
Genie AI	ext:L3	kp-vertical-b.md	AI legal drafting and contract workspace	L3	vertical	legal	active	$17.8M led by GV (Oct 2024)	normal
Geordie	Balderton Capital	vc-eu.md	Security and governance layer for enterprise AI agents	L1	horizontal	general	active	$30M Series A led by Balderton, May 2026	high
Giga AI	YC S23	yc-2023.md	AI support agents for enterprises	L3	vertical	customer service	active	$61M Series A reported	high
Giskard	Accel	vc-us-a.md	Automated Red Teaming platform for AI agents to prevent security vulnerabilities	L1	horizontal	general	active	$466K Grant	normal
GitHub Copilot Coding Agent	ext:L5	kp-suites.md	Autonomous coding agent working GitHub issues	L5	vertical	software engineering	active	agent mode GA since 2025; Copilot used by 20M+ developers	high
GitLab Duo Agent Platform	ext:L5	kp-suites.md	Agent building across the GitLab DevSecOps lifecycle	L5	vertical	software engineering	active	GA in GitLab 18.8	normal
Glade	YC S23	yc-2023.md	AI agents for game development and AI NPCs	L3	vertical	software engineering	active	50+ studios use GladeCore	normal
Glama	seed:L1	kp-infra.md	MCP registry, inspector, and gateway for agents	L1	horizontal	general	active	Leading MCP registry; funding undisclosed	normal
Glean	gtm:kb;seed:L2;Lightspeed;IVP, ICONIQ, Craft	gtm-carry.md;kp-platforms.md;vc-us-a.md;vc-us-c.md	Enterprise Work AI platform: search, assistants, agents over 100+ apps	L2	horizontal	general	active	$7.2B valuation, $200M ARR	high
Glen	YC S26	yc-2026.md	Shared memory layer for AI agents	L1	horizontal	general	active	none visible	high
Google ADK	seed:L2	kp-platforms.md	Google's open-source Agent Development Kit for Gemini-based agents	L2	horizontal	general	active	Expanding integrations ecosystem 2026; Google Cloud distribution	high
Google Agent Development Kit	seed:L5	kp-suites.md	Open-source model-agnostic framework for building agents	L2	horizontal	general	active	none visible	normal
Google Agent Studio (ex-Vertex AI Agent Builder)	seed:L5	kp-suites.md	Managed no-code agent building in Gemini Enterprise Agent Platform	L2	horizontal	general	active	Vertex AI renamed Gemini Enterprise Agent Platform April 2026	normal
Google Agentspace	gtm:inc	gtm-carry.md	Google agent platform: Agentspace, no-code Workbench, A2A protocol	L5	horizontal	general	active	Gemini Enterprise $30 per seat	high
Google Gemini Enterprise (ex-Agentspace)	seed:L5	kp-suites.md	Enterprise agent platform with assistant and search, ex-Agentspace	L2	horizontal	general	active	Renamed Oct 2025; unified platform April 2026	normal
GovDash	gtm:rfp;YC W22	gtm-carry.md;yc-2021-22.md	Government contracting lifecycle platform with agentic cross-module execution	L3	vertical	GTM/sales	active	none visible	high
GradeWiz	YC W25	yc-2025.md	AI grading of student work for universities	L3	vertical	education	active	TechCrunch W25 Demo Day top-10 pick	high
Gradient Labs	ext:L3	kp-vertical-a.md	AI customer service agents for regulated fintechs	L3	vertical	customer service (fintech)	active	$13M Series A (2025) plus 2026 round	normal
GrazeMate	YC W26	yc-2026.md	Autonomous drones that herd cattle	L3	vertical	logistics	active	none visible	high
Greenlite	seed:L3;Greylock;Craft;YC S23	kp-vertical-b.md;vc-us-a.md;vc-us-c.md;yc-2023.md	AI agents for AML and KYC compliance operations	L3	vertical	finance/accounting	active	$15M Series A (2025)	high
Greptile	ext:L3;YC W24	kp-vertical-a.md;yc-2024.md	AI code review and codebase understanding	L3	vertical	software engineering	active	$25M Series A led by Benchmark (2025)	high
GreyLabs AI	Elevation, Z47	vc-in.md	Agentic voice AI platform for India's BFSI	X	vertical	finance	active	Rs 85 Cr Series A 2025	high
Guidewire Agentic AI	ext:L5	kp-suites.md	Agent framework for insurers on Guidewire Cloud	L5	vertical	insurance	active	launched Qusar release August 2026	normal
Guild AI	YC S26	yc-2026.md	AI-native defense supply chain layer	L3	vertical	defense	active	none visible	high
Gumloop	seed:L2;Benchmark;YC W24	kp-platforms.md;vc-us-a.md;yc-2024.md	No-code canvas for building AI agent workflows and automations	L2	horizontal	general	active	$50M Series B led by Benchmark, Mar 2026	high
H Company	ext:X	kp-infra.md	Computer-use agents (Runner H) from Paris lab	X	horizontal	general	active	$220M seed (2025)	high
haddock	YC W22	yc-2021-22.md	AI agents running restaurant operations	L3	vertical	restaurants	active	team 40	normal
Hadrius	YC W23	yc-2023.md	AI compliance automation for SEC-registered financial advisors	L3	vertical	finance	active	$27M raised across seed and Series A	high
Haize Labs	ext:L1	kp-infra.md	Red-teaming and stress-testing for AI agents	L1	horizontal	general	active	$12.5M seed led by General Catalyst	normal
Halluminate	YC S25	yc-2025.md	Data and sandboxes for training computer-use agents	L1	horizontal	general	active	none visible	high
Hamming	YC S24	yc-2024.md	AI Automated voice AI agent testing and monitoring	L1	horizontal	general	active	$3.8M seed led by Mischief	high
Handled	YC S24	yc-2024.md	Automating post-order operations for e-commerce brands and 3PLs	L3	vertical	logistics	active	none visible	high
Handoff	ext:L3	kp-vertical-b.md	AI estimating for residential contractors	L3	vertical	construction	active	$5.8M strategic funding (Jun 2025)	normal
Hang Ten Systems	Mayfield	vc-ai.md	Enterprise software rebuilt for the agentic era	L2	horizontal	general	active	$32M seed led by Mayfield June 2026	normal
HappyRobot	seed:L3;YC S23	kp-vertical-b.md;yc-2023.md	Voice AI agents for freight carriers and brokers	L3	vertical	logistics	active	$150M Series C at $1.2B (Aug 2026)	high
Harmoney	YC W22	yc-2021-22.md	agentic AI for buy-side firms	L3	vertical	finance	active	rebranded InferEdge	normal
Harness AI Agents	ext:L5	kp-suites.md	AI agents for software delivery workflows	L5	vertical	software engineering	active	none visible	normal
Harper	ext:L3;YC W25	kp-vertical-b.md;yc-2025.md	AI-native commercial insurance brokerage	L3	vertical	insurance	active	$47M raised (Feb 2026)	high
Harvey	seed:L3;Conviction;Sequoia;Coatue	kp-vertical-b.md;vc-ai.md;vc-us-a.md;vc-us-b.md	Agentic AI legal associate for law firms and enterprises	L3	vertical	legal	active	$200M at $11B (Mar 2026); $500M at $15.5B reportedly in talks	high
Hatchet	ext:L1;YC W24	kp-infra.md;yc-2024.md	Open-source orchestration for background AI tasks	L1	horizontal	general	active	YC W24; active OSS	high
HatchWorks AI	ext:L4	kp-infra.md	AI-first digital services firm building agents	L4	horizontal	general	active	$2M raised (2026)	normal
Hazel	YC W24	yc-2024.md	AI-enabled procurement for government	L3	vertical	government	active	none visible	high
HCLTech	seed:L4	kp-infra.md	Indian SI with GenAI and agentic platforms	L4	horizontal	general	active	AI Force 2.0 (2026)	high
Health Harbor	YC S23	yc-2023.md	AI agents calling insurers on behalf of clinics	X	vertical	healthcare	active	none visible	normal
Hebbia	seed:L3;Radical Ventures;a16z;Index	kp-vertical-b.md;vc-ai.md;vc-us-a.md;vc-us-b.md	AI document analysis for finance and legal due diligence	L3	vertical	legal	active	$130M at $700M on $13M profitable revenue (2024)	high
