name	sources	files	one_liner	layer	scope	vertical	status	traction	priority	profile_depth	wiki_slug	task_horizon	pricing_model
CopyCat	YC W25	yc-2025.md	Voice AI delivering dermatology biopsy results and scheduling treatment	L3	vertical	healthcare	active	none visible	high	base	copycat	multi-step	unknown
Coral	Z47, Lightspeed	vc-in.md	AI agents automating US healthcare back office	L3	vertical	healthcare	active	$12.5M Series A 2026	normal			unknown	unknown
CORE	YC S23	yc-2023.md	Persistent memory and actions layer for AI tools	L1	horizontal	general	active	none visible	normal			unknown	unknown
Corelayer	YC W26	yc-2026.md	AI on-call engineers for production issues	L3	vertical	software engineering	active	none visible	high	base	corelayer	unknown	unknown
Corgea	YC S23	yc-2023.md	AI agents finding and fixing insecure code	L3	vertical	security	active	$2.6M seed	normal			unknown	unknown
Cortea	Cherry Ventures	vc-eu.md	AI automating financial and IT audits	L3	vertical	finance/accounting	active	$13.9M seed, Jun 2026	normal			unknown	unknown
Corti	ext:L3	kp-vertical-b.md	Voice AI for healthcare consultations and emergency calls	L3	vertical	healthcare	active	$60M Series B (2023); $87M total	high	deep	corti	multi-step	usage
Cotera	YC W22	yc-2021-22.md	platform to build AI agents that act across systems	L2	horizontal	general	active	none visible	normal			unknown	unknown
Coupa AI Agents	ext:L5	kp-suites.md	Agents for spend management and source-to-pay	L5	vertical	procurement	active	launched November 2025; uptake undisclosed	normal			unknown	unknown
Cova	YC S26	yc-2026.md	AI-Native Home Care Agency	L3	vertical	healthcare	active	none visible	high	base	cova	unknown	unknown
Coval	YC S24	yc-2024.md	Simulation & Evaluation for Voice and Chat Agents	L1	horizontal	general	active	$28M Series A	high	deep	coval	multi-step	usage
Covey	ext:L3	kp-vertical-a.md	AI agents for outbound candidate sourcing and screening	L3	vertical	HR and recruiting	active	none visible	normal			unknown	unknown
Coze	seed:L2	kp-platforms.md	ByteDance's agent builder; open-sourced Coze Studio	L2	horizontal	general	active	Open-sourced Coze Studio Jul 2025; large China user base	high	deep	coze	multi-step	unknown
Cozmo AI	YC W22	yc-2021-22.md	end-to-end AI agents for property claims	L3	vertical	insurance	active	team 8	normal			unknown	unknown
Cranston AI	YC F25	yc-2025.md	Full-stack AI accounting firm automating reconciliation and tax	L3	vertical	accounting	active	none visible	high	base	cranston-ai	unknown	unknown
Credal	YC W23	yc-2023.md	Security and governance layer for enterprise AI agents	L1	horizontal	general	active	seed raised	normal			unknown	unknown
Crescendo	seed:L3	kp-vertical-a.md	AI-native customer experience platform, AI plus humans	L3	vertical	customer service	active	$50M raised (2024); claims $100M+ ARR (2025)	high	deep	crescendo	persistent	other
Cresta	Greylock, a16z, Sequoia	vc-us-a.md	AI agents and agent assistance for contact centers	L3	vertical	customer service	active	$125M Series D	high	deep	cresta	persistent	platform+subscription
CrewAI	ext:OSS;seed:L2;Insight;Craft	kp-infra.md;kp-platforms.md;vc-us-b.md;vc-us-c.md	Multi-agent framework for role-based teams	L2	horizontal	general	active	$18M raised; broad adoption	high	deep	crewai	persistent	unknown
Crogl	Menlo	vc-us-b.md	Autonomous AI SOC analyst for security operations	L3	vertical	security	active	$30M Ser A 2025, Menlo-led	normal			unknown	unknown
Crow	YC W26	yc-2026.md	AI sprint services for CRE operators	L3	vertical	software engineering	active	none visible	high	base	crow	unknown	unknown
CrowdStrike Charlotte AI	ext:L5	kp-suites.md	Agentic SOC assistant and detection agents	L5	vertical	security	active	none visible	normal			unknown	unknown
Crunched	YC F25	yc-2025.md	Excel AI analyst error-checking workbooks and building models	L3	vertical	finance	active	none visible	high	base	crunched	unknown	unknown
Cursor (Anysphere)	a16z;Thrive	vc-us-a.md;vc-us-c.md	AI-assisted IDE with YOLO mode for autonomous code iteration, testing, and fixing	L3	vertical	software engineering	active	Over $500M ARR; $9.9B valuation	high	deep	cursor--anysphere-	multi-step	per-seat
Cyberdesk	YC S25	yc-2025.md	Self-learning computer-use agent automating legacy Windows apps	X	horizontal	general	active	none visible	high	base	cyberdesk	unknown	unknown
Cytora	ext:L3	kp-vertical-b.md	AI platform processing commercial insurance submissions	L3	vertical	insurance	active	$32.5M Series B (2019)	normal			unknown	unknown
Daqstra	YC S26	yc-2026.md	AI-native orchestration for physical R&D testing	L1	horizontal	general	active	none visible	high	base	daqstra	unknown	unknown
Dari	YC F25	yc-2025.md	API for reliable browser-use agents with deterministic playback	X	horizontal	general	active	none visible	high	base	dari	unknown	unknown
Dart	YC W22	yc-2021-22.md	AI-native project management with agents completing work	L3	horizontal	general	active	thousands of teams	normal			unknown	unknown
Databricks Mosaic Agent Framework	seed:L5	kp-suites.md	Open framework for building data-aware agents on Databricks	L2	horizontal	general	active	none visible	normal			unknown	unknown
Datadog Bits AI	ext:L5	kp-suites.md	Agentic assistant for SRE and observability	L5	vertical	software engineering	active	none visible	normal			unknown	unknown
datafruit	YC S25	yc-2025.md	AI workspace automating software implementation projects	L3	vertical	software engineering	active	none visible	high	base	datafruit	unknown	unknown
Datafy	Bessemer	vc-us-b.md	Autonomous storage administration agent for public cloud	L3	vertical	IT	active	BVP-backed, early stage	normal			unknown	unknown
Datrics	YC W21	yc-2021-22.md	AI automation for healthcare insurance claims coding	L3	vertical	healthcare	pivoted	$1.1M raised; pivoted from data analytics	normal			unknown	unknown
Day.ai	ext:L3	kp-vertical-b.md	AI-native CRM built by agents	L3	vertical	GTM/sales	active	$20M Series A from Sequoia (Feb 2026)	normal			unknown	unknown
Dayforce AI Agents	ext:L5	kp-suites.md	HR and payroll suite with embedded agents	L5	vertical	HR	active	none visible	normal			unknown	unknown
Daylight Security	Craft	vc-us-c.md	Managed agentic security services	L4	horizontal	general	active	$33M Ser A led by Craft	normal			unknown	unknown
Daytona	seed:L1	kp-infra.md	Sandboxes and runtimes for AI-generated code and agents	L1	horizontal	general	active	$24M Series A led by FirstMark	high	deep	daytona	long-horizon	usage
Decagon	seed:L3;a16z, Accel;Coatue	kp-vertical-a.md;vc-us-a.md;vc-us-b.md	AI customer support agents with concierge positioning	L3	vertical	customer service	active	$4.5B valuation (Series D, 2026)	high	deep	decagon	multi-step	other
Decipher	YC W24	yc-2024.md	AI QA agents that write tests 10x faster with zero maintenance	L3	vertical	software engineering	active	none visible	high	base	decipher	unknown	unknown
Decisional AI	YC S24	yc-2024.md	Autonomous AI agents for spreadsheet based operations	L3	vertical	finance/accounting	active	Pre-Seed funding	high	base	decisional-ai	unknown	unknown
Dedalus Labs	YC S25	yc-2025.md	Vercel for AI agents, hosted MCP servers with one-click deploy	L1	horizontal	general	active	none visible	high	base	dedalus-labs	unknown	unknown
Deepgram	seed:X	kp-infra.md	Speech-to-text and voice AI models for agents	X	horizontal	general	active	$130M Series C at $1.3B (Jan 2026)	high	deep	deepgram	single-turn	usage
DeepIP	Balderton Capital	vc-eu.md	AI platform for patent drafting and prosecution	L3	vertical	legal	active	$25M Series B	normal			unknown	unknown
DeepRFP	gtm:rfp	gtm-carry.md	Lean AI toolkit for proposal professionals: shredder, drafts, red-team review	L3	vertical	GTM/sales	active	transparent pricing $89-149 per user monthly	normal			unknown	unknown
deepset	ext:OSS;Balderton Capital	kp-infra.md;vc-eu.md	Haystack OSS and enterprise RAG agent platform	L2	horizontal	general	active	$30M raised (2023)	high	base	deepset	unknown	unknown
Deeptrace	YC F25	yc-2025.md	Agents investigating and resolving production alerts end-to-end	L3	vertical	software engineering	active	none visible	high	base	deeptrace	unknown	unknown
Definite	YC S26	yc-2026.md	Back-office agents based on a model of books	L3	vertical	finance	active	none visible	high	base	definite	unknown	unknown
Delfino AI	YC S22	yc-2021-22.md	AI automating provider-payor phone calls in healthcare	X	vertical	healthcare	active	team 2	normal			unknown	unknown
Delineate	YC W25	yc-2025.md	AI agents designing better clinical trials faster	L3	vertical	life sciences	active	none visible	high	base	delineate	multi-step	unknown
Deloitte	seed:L4	kp-infra.md	Big 4 SI building and deploying enterprise agents	L4	horizontal	general	active	Zora AI agentic platform (2025)	high	deep	deloitte	long-horizon	per-outcome
Delphina	Radical Ventures	vc-ai.md	AI agents automating data science workflows	L3	vertical	data science	active	$7.5M seed 2023	normal			unknown	unknown
Delve	Insight;YC W24	vc-us-b.md;yc-2024.md	AI agents for enterprise compliance monitoring	L3	vertical	compliance	active	$32M Ser A 2025 led by Insight	high	deep	delve	persistent	usage
Demeter	YC W25	yc-2025.md	AI value-creation team for private equity portfolios	L3	vertical	finance	active	none visible	high	base	demeter	unknown	unknown
Dench.com	YC S24	yc-2024.md	AI Workforce that does it all	L2	horizontal	general	active	$2M Seed Round	high	base	dench-com	unknown	unknown
Denki	YC F25	yc-2025.md	Full-stack AI audit firm performing audits with software	L3	vertical	accounting	active	$4.1M raised	high	deep	denki	persistent	usage
Derya	YC S26	yc-2026.md	AI-Native Logistics Office	L3	vertical	logistics	active	none visible	high	base	derya	unknown	unknown
Dev Tools AI	YC S22	yc-2021-22.md	LLM and computer-vision powered web and mobile automation	L3	vertical	software engineering	dead	none visible	normal			unknown	unknown
Dex	ext:L3	kp-vertical-a.md	AI recruiting agents for talent matching	L3	vertical	HR and recruiting	active	$5.3M seed led by Notion Capital (2026)	normal			unknown	unknown
Dexter	YC F24	yc-2024.md	AI-powered Source-to-Pay	L3	vertical	finance/accounting	active	none visible	high	base	dexter	unknown	unknown
Dialogus	YC S26	yc-2026.md	Infrastructure for enterprise voice agents in contact centers	L1	horizontal	general	active	Customers include Papa Johns, KFC	high	base	dialogus	multi-step	unknown
Dialtone	YC S23	yc-2023.md	Self-learning agents for CRM and GTM data hygiene	L3	vertical	sales	active	none visible	normal			unknown	unknown
DianaHR	YC W24	yc-2024.md	An AI-Powered HR Person	L3	vertical	HR	active	$3.7M Seed Round	high	base	dianahr	unknown	unknown
Dify	ext:OSS;ext:L2	kp-infra.md;kp-platforms.md	Open-source platform for agentic workflows	L2	horizontal	general	active	$30M pre-Series A (2026)	high	deep	dify	multi-step	usage
DigiBuild	YC S21	yc-2021-22.md	agents that buy and track building materials for construction	L3	vertical	construction	active	none visible	normal			unknown	unknown
DigitalGenius	seed:L3	kp-vertical-a.md	AI agents for ecommerce customer service automation	L3	vertical	customer service (ecommerce)	active	$14.75M Series A (2017); quiet since	normal			unknown	unknown
Digits	seed:L3	kp-vertical-b.md	AI-native accounting software automating bookkeeping	L3	vertical	finance/accounting	active	$65M raised; $565M valuation (2022)	high	deep	digits	persistent	other
Digs	ext:L3	kp-vertical-b.md	AI digital twin platform for homebuilding	L3	vertical	construction	active	$25.3M Series A led by Builders FirstSource (Aug 2026)	high	deep	digs	unknown	unknown
dili	YC S23	yc-2023.md	AI automation for prevailing-wage compliance in construction and infrastructure	L3	vertical	construction	pivoted	pivoted from PE due-diligence AI	normal			unknown	unknown
DiligenceSquared	YC F25	yc-2025.md	Automated, auditable market diligence for private equity deals	L3	vertical	finance	active	none visible	high	base	diligencesquared	unknown	unknown
Diligent	YC S23	yc-2023.md	AI agents for fintech AML and customer due diligence	L3	vertical	fintech	active	none visible	normal			unknown	unknown
Dime	YC W24	yc-2024.md	Dime automates administrative busywork at healthcare clinics	L3	vertical	healthcare	active	none visible	high	base	dime	multi-step	unknown
Diode Computers, Inc.	YC S24	yc-2024.md	Automate circuit board design using AI	L3	vertical	engineering	active	raised $11.4M	high	base	diode-computers--inc-	unknown	unknown
DisputeNinja	YC S23	yc-2023.md	AI agents automating chargeback disputes and revenue recovery	L3	vertical	finance	active	Shopify App Store presence	normal			unknown	unknown
Docket	gtm:sol	gtm-carry.md	AI sales engineers for presales teams	L3	vertical	GTM/sales	active	none visible	normal			unknown	unknown
Document Crunch	ext:L3	kp-vertical-b.md	AI contract review for construction projects	L3	vertical	construction	active	$30M raised (2024)	high	deep	document-crunch	unknown	unknown
Docyt	ext:L3	kp-vertical-b.md	Precision-trained AI agents for accounting automation	L3	vertical	finance/accounting	active	$12M pre-Series B (Aug 2025)	normal			unknown	unknown
Dodge AI	Accel	vc-in.md	Specialized agents maintaining SAP ERP systems	L3	vertical	IT	active	Accel Atoms AI cohort 2026	normal			unknown	unknown
Dodo	YC S24	yc-2024.md	AI Employees for Specialty Clinics	L3	vertical	healthcare	active	none visible	high	base	dodo	persistent	unknown
Doe	YC S25	yc-2025.md	AI agents doing your work across connected tools	L2	horizontal	general	active	none visible	high	base	doe	unknown	unknown
Dome Systems	Bessemer	vc-us-b.md	Operational control plane for the agentic enterprise	L1	horizontal	general	active	$14M seed 2026 co-led by BVP and Redpoint	normal			unknown	unknown
Domo AI Agents	ext:L5	kp-suites.md	Custom AI agents for business data	L5	vertical	analytics	active	none visible	normal			unknown	unknown
Domu	YC S24	yc-2024.md	AI Agents for collections	L3	vertical	finance/accounting	active	none visible	high	base	domu	unknown	unknown
Donkey	YC S26	yc-2026.md	AI-native trading company for US importers	L3	vertical	e-commerce	active	none visible	high	base	donkey	unknown	unknown
Doublezero	YC S24	yc-2024.md	Platform to build, use, and monetize fully autonomous agents	L2	horizontal	general	active	none visible	high	base	doublezero	unknown	unknown
DPDzero	Blume	vc-in.md	GPT-enabled collections and debt recovery for lenders	L3	vertical	finance	active	Blume-backed since 2023	normal			unknown	unknown
DraftWise	ext:L3	kp-vertical-b.md	AI drafting and knowledge platform for law firms	L3	vertical	legal	active	$20M Series A (Mar 2024)	normal			unknown	unknown
Drillbit	YC S24	yc-2024.md	Automating Office Work for Residential Contractors	L3	vertical	construction	active	none visible	high	base	drillbit	unknown	unknown
Dropzone	seed:L3;Madrona	kp-vertical-b.md;vc-us-c.md	AI SOC analyst agent automating alert investigation	L3	vertical	security	active	$37M Series B (Jul 2025)	high	deep	dropzone	multi-step	platform+subscription
DryMerge	YC W24	yc-2024.md	AI that updates your CRM for you	L3	vertical	GTM/sales	active	$2.2M Seed Round	high	base	drymerge	unknown	unknown
dScribe AI	YC S25	yc-2025.md	Autonomous drones with 3D vision tracking bulk inventory	L3	vertical	logistics	active	none visible	high	base	dscribe-ai	unknown	unknown
Duckie	YC W24	yc-2024.md	Build AI Support Agents in Minutes	L3	vertical	customer service	active	$500K Seed	high	base	duckie	multi-step	unknown
Durate	YC F24	yc-2024.md	Automated physician scheduling	L3	vertical	healthcare	active	$500K Seed	high	base	durate	multi-step	unknown
Dust	gtm:kb;ext:L2;Seedcamp;Sequoia	gtm-carry.md;kp-platforms.md;vc-eu.md;vc-us-a.md	Multiplayer AI: shared human-agent collaboration surface	L2	horizontal	general	active	3000+ orgs, 300K+ agents deployed	high	deep	dust	multi-step	usage
Dwelly	ext:L3	kp-vertical-b.md	AI operating system automating UK lettings agencies	L3	vertical	real estate	active	$170M Series B (Jul 2026)	high	deep	dwelly	long-horizon	unknown
E2B	seed:L1;Insight;YC S24	kp-infra.md;vc-us-b.md;yc-2024.md	Open-source sandboxes and agent cloud for running AI code	L1	horizontal	general	active	$21M Series A 2025; Fortune 100 customers	high	deep	e2b	persistent	usage
Eagl	ext:L3	kp-vertical-b.md	AI agents for month-end close	L3	vertical	finance/accounting	active	EUR 825K raised (2025)	normal			unknown	unknown
ECSA	YC S22	yc-2021-22.md	AI agent running international trade operations	L3	vertical	logistics	active	none visible	normal			unknown	unknown
Eden	YC S25	yc-2025.md	Autonomous marketing agents running ecommerce campaigns	L3	vertical	marketing	active	none visible	high	base	eden	unknown	unknown
Edexia	YC W25	yc-2025.md	AI teacher assistant grading essays across curricula	L3	vertical	education	active	none visible	high	base	edexia	multi-step	unknown
Edgedive	YC F24	yc-2024.md	The AI Support Engineer	L3	vertical	software engineering	active	none visible	high	base	edgedive	unknown	unknown
EdgeRunner AI	Madrona	vc-us-c.md	Air-gapped on-device AI agents for military	L3	vertical	security	active	$12M Ser A 2025	normal			unknown	unknown
Edra	Sequoia	vc-us-a.md	Creates and deploys executable knowledge for enterprise AI agents	L1	horizontal	general	active	raised $30M Series A	high	deep	edra	long-horizon	unknown
EffiGov	YC S25	yc-2025.md	AI call operators answering 311 and city lines around the clock	L3	vertical	government	active	none visible	high	base	effigov	multi-step	unknown
Egma AI	YC S26	yc-2026.md	AI-native marketing agency for elective care clinics	L3	vertical	marketing	active	$48K pilot value, backed by South Park Commo	high	base	egma-ai	unknown	unknown
Egoist Machines	YC S26	yc-2026.md	Secure user-owned context for AI apps	L1	horizontal	general	active	none visible	high	base	egoist-machines	persistent	unknown
Egress Health	YC W25	yc-2025.md	AI agents automating dental revenue cycle management	L3	vertical	healthcare	active	none visible	high	base	egress-health	multi-step	unknown
Ekpa	YC S26	yc-2026.md	Autonomous Research Agents for Trading	L3	vertical	finance	active	none visible	high	base	ekpa	unknown	unknown
ElevenLabs	ext:X	kp-infra.md	Voice AI company with conversational agent platform	X	horizontal	general	active	$500M ARR (2026)	high	deep	elevenlabs	multi-step	usage
EliseAI	seed:L3;a16z;Bessemer	kp-vertical-b.md;vc-us-a.md;vc-us-b.md	AI leasing and resident agents for housing operators	L3	vertical	real estate	active	$300M at $3.7B reportedly in talks (Aug 2026)	high	deep	eliseai	persistent	unknown
Ellipsis	YC W24	yc-2024.md	AI code reviews & bug fixes	L3	vertical	software engineering	active	none visible	high	base	ellipsis	unknown	unknown
Elyos AI	YC S23	yc-2023.md	AI customer-service agents for trades and field services	L3	vertical	field services	active	none visible	normal			unknown	unknown
Ema	gtm:kb;seed:L2;Accel	gtm-carry.md;kp-platforms.md;vc-in.md;vc-us-a.md	Universal AI Employee platform: no-code agents, Generative Workflow Engine	L2	horizontal	general	active	250+ integrations, outcome-based pricing	high	base	ema	unknown	per-outcome
Embedder	YC S25	yc-2025.md	Coding agent writing, testing, debugging firmware	L3	vertical	software engineering	active	none visible	high	base	embedder	unknown	unknown
Ember	YC F24	yc-2024.md	AI revenue cycle management for healthcare	L3	vertical	healthcare	active	none visible	high	base	ember	multi-step	unknown
Emergent	Lightspeed;YC S24	vc-in.md;yc-2024.md	AI agents building apps and code from ideas	L3	vertical	software engineering	active	Unicorn; $130M Series C 2026	high	deep	emergent	multi-step	usage
Engines	YC W24	yc-2024.md	Setup any repo with one command	L3	vertical	software engineering	active	none visible	high	base	engines	unknown	unknown
Engram	General Catalyst	vc-us-b.md	Memory operating system for AI models and agents	L1	horizontal	general	active	GC-led seed 2026	normal			unknown	unknown
Entangl	YC S24	yc-2024.md	Find & resolve issues in data center engineering & operations using AI	L3	vertical	IT	active	none visible	high	base	entangl	persistent	unknown
Entire	Felicis, Madrona	vc-us-c.md	Developer platform managing code written by AI agents	L1	horizontal	general	active	$60M seed at $300M val 2026	normal			unknown	unknown
Entropy	YC S24	yc-2024.md	Autonomous intake and RCM for specialty clinics	L3	vertical	healthcare	active	$25M seed round led by Andreessen Horowitz	high	deep	entropy	multi-step	unknown
Entvin	YC S22	yc-2021-22.md	AI agents for life-sciences regulatory teams	L3	vertical	life sciences	active	team 5	normal			unknown	unknown
Eos AI	YC W26	yc-2026.md	Autonomous OS for healthcare	L3	vertical	healthcare	active	none visible	high	base	eos-ai	multi-step	unknown
Epic AI Agents	ext:L5	kp-suites.md	EHR agents (Penny, Art, Emmie) built with Microsoft	L5	vertical	healthcare	active	85% of Epic customer base (reported)	normal			unknown	unknown
Epicor Prism AI	ext:L5	kp-suites.md	Network of vertical AI agents with industry ERP	L5	horizontal	general	active	none visible	normal			unknown	unknown
Epsilla	YC S23	yc-2023.md	Platform for building AI agents on private knowledge	L2	horizontal	general	active	reported revenue	normal			unknown	unknown
Ergo	YC W25	yc-2025.md	Agents monitoring comms, updating CRM, executing revenue activities	L3	vertical	GTM/sales	active	none visible	high	base	ergo	unknown	unknown
Erinys	YC S26	yc-2026.md	Network of AI-native law firms	L3	vertical	legal	active	none visible	high	base	erinys	unknown	unknown
Escape Technologies	Balderton Capital;YC W23	vc-eu.md;yc-2023.md	AI agents replacing manual pentesting	L3	vertical	security	active	$18M Series A led by Balderton, Mar 2026	high	deep	escape-technologies	long-horizon	other
Espressive	ext:L3	kp-vertical-a.md	Barista AI agent for enterprise IT and HR service	L3	vertical	IT and employee service	active	Atos partnership (2025); established since 2017	high	deep	espressive	multi-step	unknown
Eve	seed:L3;Menlo	kp-vertical-b.md;vc-us-b.md	AI workforce automating plaintiff law firm casework	L3	vertical	legal	active	$103M Series B at $1B (Sep 2025)	high	deep	eve	persistent	per-seat
EvenUp	seed:L3;Bessemer	kp-vertical-b.md;vc-us-b.md	AI drafting demand packages for personal injury firms	L3	vertical	legal	active	$150M Series E at $2B+ (Oct 2025)	high	deep	evenup	multi-step	platform+subscription
Everest	YC F25	yc-2025.md	AI employees helping MSPs resolve IT support tickets	L3	vertical	IT	active	none visible	high	base	everest	unknown	platform+subscription
Exa	YC S21	yc-2021-22.md	web search API built for AI applications and agents	L1	horizontal	general	active	$250M Series C May 2026 at $2.2B valuation	high	deep	exa	long-horizon	usage
Exaforce	ext:L3;Mayfield;Khosla Ventures	kp-vertical-b.md;vc-ai.md;vc-us-a.md	Agentic SOC platform for security reasoning and response	L3	vertical	security	active	$125M Series B (May 2026)	high	deep	exaforce	multi-step	other
Experiential Labs	YC S26	yc-2026.md	World models for agents	L1	horizontal	general	active	none visible	high	base	experiential-labs	unknown	unknown
EY	seed:L4	kp-infra.md	Big 4 SI with enterprise agentic AI platform	L4	horizontal	general	active	EY.ai Agentic Platform with NVIDIA (2025)	high	deep	ey	multi-step	unknown
Factory	seed:L3;Sequoia, Khosla Ventures;NEA	kp-vertical-a.md;vc-us-a.md;vc-us-b.md	Autonomous software development agents (droids)	L3	vertical	software engineering	active	$50M Series B (2025, NEA, Sequoia, NVIDIA)	high	deep	factory	long-horizon	per-seat
Farsight	SignalFire	vc-ai.md	AI workflow automation for financial decisions	L3	vertical	finance	active	$16M Series A June 2025	normal			unknown	unknown
FastGPT	ext:L2	kp-platforms.md	Open-source knowledge-base and agent workflow platform	L2	horizontal	general	active	Major open-source project (labring)	normal			unknown	unknown
Fazeshift	YC S24	yc-2024.md	AI agent for Accounts Receivable	L3	vertical	finance/accounting	active	$17M Series A	high	deep	fazeshift	long-horizon	unknown
Feather	YC S22	yc-2021-22.md	platform powering human-like AI phone calls	X	horizontal	general	active	team 2	normal			unknown	unknown
Federato	seed:L3	kp-vertical-b.md	Underwriting workbench with AI copilots for insurers	L3	vertical	insurance	active	$100M Series D led by Goldman (Nov 2025)	high	deep	federato	multi-step	unknown
Fenrock AI	YC W26	yc-2026.md	AI agents for banking back office	L3	vertical	finance	active	none visible	high	base	fenrock-ai	unknown	unknown
Fernstone	YC F25	yc-2025.md	Full-stack AI insurance brokerage for complex commercial risk	L3	vertical	insurance	active	none visible	high	base	fernstone	unknown	unknown
Fibr AI	Accel	vc-in.md;vc-us-a.md	Agentic web personalization turning URLs into experience agents	L3	vertical	GTM/marketing	active	$7.5M seed led by Accel 2026	normal			unknown	unknown
Fifth Dimension AI	Seedcamp	vc-eu.md	AI partner automating work for real estate professionals	L3	vertical	real estate	active	£2.3M pre-seed, 2023	normal			unknown	unknown
Fin	Bessemer	vc-us-b.md	Intercom renamed; customer AI agent company	L5	vertical	customer service	active	Formerly Intercom; rebranded around Fin agent 2026	high	deep	fin	multi-step	per-outcome
finbar	YC W25	yc-2025.md	AI investment analyst automating modeling and research	L3	vertical	finance	active	used by several top-20 AUM hedge funds	high	base	finbar	unknown	unknown
Fini	YC S22	yc-2021-22.md	AI agents autonomously resolving enterprise support tickets	L3	vertical	customer service	active	team 14	normal			unknown	unknown
Finnt	YC W22	yc-2021-22.md	AI agents for CFO and finance teams	L3	vertical	finance	dead	none visible	normal			unknown	unknown
Finster	Peak XV	vc-in.md	AI research platform automating equity research workflows	L3	vertical	finance	active	Surge 11 cohort 2025	normal			unknown	unknown
Finto	ext:L3;YC S25	kp-vertical-b.md;yc-2025.md	AI-powered accounting platform	L3	vertical	finance/accounting	active	$3.4M seed (Jul 2026)	high	base	finto	unknown	unknown
Firebender	YC W24	yc-2024.md	Most powerful coding agent for Android engineers	L3	vertical	software engineering	active	none visible	high	base	firebender	unknown	unknown
Firsthand	Radical Ventures	vc-ai.md	Brand agents for marketers and publishers	L3	vertical	marketing	active	$26M Series A	normal			unknown	unknown
fixa	YC F24	yc-2024.md	Fix AI voice agents faster	L1	horizontal	general	active	none visible	high	base	fixa	multi-step	unknown
Fixify	seed:L3	kp-vertical-a.md	AI agent plus human analysts for IT help desks	L3	vertical	IT service	active	$25M Series A (2024)	high	deep	fixify	multi-step	platform+subscription
Flair Labs	YC S22	yc-2021-22.md	autonomous voice agents for real estate and lending	X	vertical	real estate	active	team 4	normal			unknown	unknown
Flank	Insight	vc-us-b.md	Autonomous legal agents embedded in enterprise workflows	L3	vertical	legal	active	$10M round 2025, Insight-backed	normal			unknown	unknown
FleetWorks	ext:L3	kp-vertical-b.md	Voice AI agents for freight brokers and carriers	L3	vertical	logistics	active	$17M raised (Oct 2025)	normal			unknown	unknown
Flowise	ext:OSS;seed:L2;YC S23	kp-infra.md;kp-platforms.md;yc-2023.md	Visual low-code builder for agentic systems	L2	horizontal	general	acquired	Popular OSS; modest commercial traction	high	base	flowise	unknown	unknown
Flowtel	YC W25	yc-2025.md	AI voice agents for hotels, from booking to room service	L3	vertical	hospitality	active	none visible	high	base	flowtel	unknown	unknown
Fluidize	YC S25	yc-2025.md	AI building and running simulations and experiments for scientists	L3	vertical	engineering	active	none visible	high	base	fluidize	unknown	unknown
Flywheel AI	YC S25	yc-2025.md	Autonomous excavators operating existing construction machinery	L3	vertical	construction	active	none visible	high	deep	flywheel-ai	long-horizon	unknown
Forethought	seed:L3;8VC	kp-vertical-a.md;vc-us-c.md	AI agents for customer support resolution	L3	vertical	customer service	acquired	Acquired by Zendesk (2026)	high	deep	forethought	multi-step	per-outcome
Forge	YC W24	yc-2024.md	Getting companies refunds on tariffs & duties	L3	vertical	logistics	active	none visible	high	base	forge	unknown	unknown
Forge Robotics	YC F25	yc-2025.md	Robotic system fabricating welded metal parts end-to-end	L3	vertical	manufacturing	active	none visible	high	deep	forge-robotics	persistent	unknown
Forgent AI	Cherry Ventures	vc-eu.md	AI agents for winning and delivering public sector contracts	L3	vertical	GTM/sales	active	$5.1M pre-seed, Sep 2025	normal			unknown	unknown
Forus	ext:L3	kp-vertical-b.md	AI agents for pharma market access in medical practices	L3	vertical	healthcare	active	$150M Series C at $3B (Sep 2026)	high	deep	forus	long-horizon	platform+subscription
Foundry	YC F24	yc-2024.md	Enterprise data and simulation for AI web agents	L1	horizontal	general	active	none visible	high	base	foundry	long-horizon	unknown
Freed	ext:L3	kp-vertical-b.md	AI medical scribe for clinicians	L3	vertical	healthcare	active	$30M Series A led by Sequoia (Mar 2025)	high	deep	freed	multi-step	per-seat
Freestyle	YC S24	yc-2024.md	We run and deploy code your AI wrote	L1	horizontal	general	active	$10M Series A led by Silas Capital	high	base	freestyle	persistent	unknown
Freight Hero	AI Fund	vc-ai.md	AI agents for freight brokerage back offices	L3	vertical	logistics	active	$5M raised July 2026	normal			unknown	unknown
Freshworks Freddy AI	ext:L5	kp-suites.md	Agentic AI for customer and employee service in Freshworks	L5	vertical	customer service	active	5,000 organizations	normal			unknown	unknown
Freya	YC S25	yc-2025.md	Voice AI for enterprises	X	horizontal	general	active	none visible	high	base	freya	unknown	unknown
Frizzle	YC S25	yc-2025.md	AI grading handwritten math assignments for teachers	L3	vertical	education	active	none visible	high	base	frizzle	single-turn	unknown
Fulcrum	YC S25	yc-2025.md	Red-teaming agents fixing RL environments and improving agents	L1	horizontal	general	active	none visible	high	base	fulcrum	unknown	unknown
Fume	YC W24	yc-2024.md	We are building the AI Software Developer	L3	vertical	software engineering	active	none visible	high	base	fume	unknown	unknown
FurtherAI	YC W24	yc-2024.md	AI Workforce for the Insurance Industry	L3	vertical	insurance	active	$25M Series A led by a16z	high	deep	furtherai	long-horizon	unknown
Fuse	YC S24	yc-2024.md	AI helpers for patient intake and benefits checks	L3	vertical	healthcare	active	none visible	high	base	fuse	multi-step	unknown
